num_nodes,run_number,node,succ,pm_succ,avg,median,max,avg_nlt,median_nlt,max_nlt,sync_ints
5,1,AVG,92.6,0.965,2793,1007,20200,78.31,37.18,64.91,37
5,2,AVG,95.8,0.998,1345,91,17746,60.12,4.01,49.96,31
5,3,AVG,94.6,0.985,2327,134,16220,79.0,4.52,56.28,30
5,4,AVG,94.8,0.988,2862,1102,17770,97.33,34.38,78.15,31
5,5,AVG,95.0,0.99,2321,111,16979,88.26,4.16,69.06,31
5,6,AVG,93.8,0.977,2369,748,20410,85.83,23.73,63.01,33
5,7,AVG,91.4,0.952,4047,1093,19414,90.19,23.64,76.38,34
5,8,AVG,95.0,0.99,2229,129,18577,89.2,5.12,74.31,34
5,9,AVG,93.8,0.977,3334,366,20731,95.68,10.17,83.35,38
5,10,AVG,93.6,0.975,2901,184,20188,96.36,6.05,68.86,32
5,AVG,AVG,94.0,0.98,2653,496,18824,86.03,15.3,68.43,33
10,1,AVG,214.0,0.991,1945,384,17802,61.76,11.28,45.26,47
10,2,AVG,211.5,0.979,2132,117,19627,68.83,3.71,44.47,43
10,3,AVG,211.4,0.979,1640,113,18633,58.15,3.77,29.8,36
10,4,AVG,213.0,0.986,1759,103,19081,62.81,3.6,44.8,40
10,5,AVG,207.7,0.962,2807,161,19515,74.59,4.28,57.04,58
10,6,AVG,211.8,0.981,2038,108,19050,67.36,3.53,44.22,42
10,7,AVG,209.5,0.97,2378,134,19556,74.3,4.09,46.53,46
10,8,AVG,214.2,0.992,1966,115,18208,72.96,4.28,49.76,48
10,9,AVG,211.0,0.977,2299,134,19844,68.22,3.92,49.18,48
10,10,AVG,213.0,0.986,1612,97,19034,59.83,3.54,37.99,40
10,AVG,AVG,211.7,0.98,2058,147,19035,66.88,4.6,44.91,45
15,1,AVG,331.3,0.986,1748,113,19156,52.87,3.4,37.43,65
15,2,AVG,327.3,0.974,1942,105,20248,60.59,3.24,39.91,54
15,3,AVG,331.3,0.986,1424,93,19176,50.08,3.25,26.63,50
15,4,AVG,333.5,0.992,1522,91,18833,55.88,3.33,38.2,52
15,5,AVG,329.0,0.979,2033,136,19789,57.07,3.75,36.89,71
15,6,AVG,330.3,0.983,1710,104,19655,55.71,3.33,37.54,65
15,7,AVG,331.7,0.987,1696,108,19027,54.58,3.39,34.1,62
15,8,AVG,330.6,0.984,1813,111,19819,60.52,3.6,32.86,58
15,9,AVG,329.8,0.982,1780,112,19180,55.47,3.42,38.66,53
15,10,AVG,330.6,0.984,1865,105,19683,62.84,3.48,40.74,58
15,AVG,AVG,330.5,0.984,1753,108,19457,56.56,3.42,36.3,59
20,1,AVG,449.1,0.985,1521,103,19393,46.52,3.15,31.39,82
20,2,AVG,447.1,0.981,1842,109,20041,53.77,3.17,32.64,70
20,3,AVG,451.4,0.99,1607,98,19650,53.98,3.22,30.03,67
20,4,AVG,451.7,0.991,1588,92,19671,55.42,3.15,35.32,78
20,5,AVG,448.1,0.983,1875,120,20068,53.13,3.35,33.44,85
20,6,AVG,448.2,0.983,1711,101,19829,53.04,3.13,32.64,83
20,7,AVG,449.5,0.986,1558,95,19399,52.42,3.19,30.45,75
20,8,AVG,450.1,0.987,1559,92,19851,53.15,3.08,28.29,65
20,9,AVG,448.2,0.983,1695,108,19807,51.17,3.25,35.72,82
20,10,AVG,450.6,0.988,1698,95,20014,56.35,3.13,35.61,68
20,AVG,AVG,449.4,0.986,1665,101,19772,52.9,3.18,32.55,76
25,1,AVG,567.9,0.986,1592,100,19844,48.02,3.04,31.97,94
25,2,AVG,568.2,0.987,1474,92,19724,44.99,2.76,26.63,85
25,3,AVG,568.5,0.987,1610,95,19409,53.01,3.08,30.36,102
25,4,AVG,567.6,0.985,1564,98,19913,48.65,3.0,29.49,93
25,5,AVG,568.8,0.988,1573,101,19944,48.13,3.05,28.7,83
25,6,AVG,567.5,0.985,1521,97,19421,47.63,2.99,27.61,101
25,7,AVG,566.2,0.983,1490,99,19729,46.91,3.06,27.1,86
25,8,AVG,570.2,0.99,1471,85,19870,49.26,2.8,26.53,78
25,9,AVG,568.8,0.988,1651,99,20010,52.15,3.12,35.41,94
25,10,AVG,567.6,0.985,1468,95,19745,46.87,2.98,26.39,85
25,AVG,AVG,568.1,0.986,1541,96,19761,48.56,2.99,29.02,90
30,1,AVG,689.4,0.991,1348,94,19907,42.12,2.89,27.58,116
30,2,AVG,686.8,0.987,1344,91,19923,41.47,2.79,24.01,100
30,3,AVG,659.7,0.948,1433,92,19516,46.58,2.95,26.62,105
30,4,AVG,667.3,0.959,1312,86,19390,42.91,2.79,24.72,87
30,5,AVG,646.1,0.928,1283,90,19393,41.12,2.89,23.58,96
30,6,AVG,643.9,0.925,1342,91,19112,43.93,2.95,24.84,110
30,7,AVG,685.3,0.985,1429,96,19666,44.91,2.99,25.76,102
30,8,AVG,689.0,0.99,1312,80,19643,43.5,2.61,24.01,95
30,9,AVG,687.9,0.988,1437,93,19761,46.61,2.98,31.04,101
30,10,AVG,687.4,0.988,1541,89,19955,49.24,2.78,27.33,101
30,AVG,AVG,674.3,0.969,1378,90,19627,44.24,2.86,25.95,101
35,1,AVG,786.4,0.936,1255,89,19817,40.32,2.85,25.82,116
35,2,AVG,807.0,0.989,1197,83,19378,38.26,2.6,21.73,116
