num_nodes,run_number,node,succ,pm_succ,avg,median,max,avg_nlt,median_nlt,max_nlt,sync_ints
30,1,ua,692,0.994,950,95,16171,28.114,2.811,19.001,123
30,1,mt,693,0.996,1082,105,20222,28.798,2.794,18.04,103
30,1,no,688,0.989,1138,110,20172,27.272,2.636,18.965,90
30,1,uk,695,0.999,1318,86,20132,47.786,3.118,26.365,124
30,1,is,686,0.986,1296,98,20185,36.836,2.786,21.593,107
30,1,am,688,0.989,1297,88,20159,42.741,2.9,32.424,114
30,1,md,672,0.966,1814,120,20167,41.424,2.74,30.235,93
30,1,it,692,0.994,1195,78,20135,42.78,2.793,23.898,141
30,1,ee,691,0.993,1168,99,20138,33.2,2.815,23.355,98
30,1,lu,691,0.993,1417,84,20164,50.736,3.007,35.428,142
30,1,es,694,0.997,1337,88,20210,37.656,2.478,22.29,89
30,1,mk,687,0.987,2291,98,20153,69.197,2.96,45.813,138
30,1,fr2,694,0.997,1226,86,20175,39.508,2.771,24.522,114
30,1,be,687,0.987,849,87,20195,26.758,2.742,16.977,122
30,1,ro,683,0.981,2146,101,20184,62.877,2.959,42.93,111
30,1,ch,689,0.99,1651,78,20120,66.486,3.142,41.267,142
30,1,al,689,0.99,1239,102,20169,32.964,2.714,20.65,106
30,1,de1,689,0.99,1127,85,20106,43.008,3.243,28.177,142
30,1,dk,690,0.991,1246,90,20161,38.848,2.806,24.916,110
30,1,cy,691,0.993,1200,78,20137,45.774,2.976,29.99,131
30,1,rs,693,0.996,1058,94,20168,30.083,2.673,21.162,96
30,1,fr1,691,0.993,1092,90,16155,37.244,3.071,21.833,116
30,1,az,693,0.996,1420,90,20148,46.789,2.966,35.495,127
30,1,hr,693,0.996,1509,97,20233,47.055,3.025,30.18,120
30,1,lt,684,0.983,1514,118,20205,41.434,3.228,30.29,124
30,1,ie,686,0.986,1029,105,20206,27.641,2.819,17.157,81
30,1,tr,691,0.993,1240,83,20137,46.107,3.086,31.003,123
30,1,pt,691,0.993,1672,98,20170,48.002,2.814,27.863,102
30,1,hu,692,0.994,1462,80,20364,57.3,3.135,36.553,137
30,1,by,688,0.989,1458,102,20168,39.147,2.739,29.158,122
30,2,de1,693,0.996,1204,75,20071,47.167,2.939,30.09,111
30,2,at,686,0.986,896,68,20169,39.375,3.01,17.922,112
30,2,al,686,0.986,1995,119,20176,51.665,3.081,28.505,114
30,2,cz,691,0.993,1110,71,16166,41.8,2.674,22.197,110
30,2,is,689,0.99,1754,102,20168,48.437,2.817,29.229,93
30,2,se,684,0.983,1653,106,20190,42.041,2.696,27.544,76
30,2,me,688,0.989,1209,86,20292,34.727,2.469,20.158,99
30,2,hu,682,0.98,1043,72,20119,41.417,2.86,20.851,118
30,2,es,691,0.993,1418,111,20170,37.376,2.926,23.629,93
